SS_TimeStamp,A_3FBFP04-SD_MCB,A_AFCFLW_MCB,A_314M02CR_DAB,A_TE31905_FSSS,A_PT31906_DAB,A_TE31412_RIO,A_TE31413_RIO,A_TE31414_RIO,A_TE31415_RIO,A_TE31416_RIO,A_TE31409_RIO,A_TE31410_RIO,A_TE31411_RIO,A_TE30502_DAB,A_PT30704_DAB,A_TE31906_FSSS,A_TE31907_FSSS,A_PT32402_MCB,A_324PCV02_MCB
2018/1/2 19:23,281.4960327,29.31258202,37.18530655,33.74584961,0.538068354,64.91880798,68.29618835,62.76215363,35.70666504,33.93011856,64.67464447,64.38981628,63.57597351,12.38113499,5.673481941,38.83983994,38.16557693,12.90490341,75.67060089
2018/1/2 20:33,288.0874329,30.91859245,36.94499588,34.27708817,0.538678646,65.77332306,69.1506958,63.53528595,36.1104126,34.21274185,65.65125275,65.36640167,64.5118866,12.6093235,5.982300758,39.12512589,38.50268936,13.55620003,81.58448029
2018/1/2 21:43,299.6681519,31.77691269,37.88335419,34.61400604,0.539212704,66.18022156,69.43553162,63.86082458,36.15078735,34.25311661,66.09883881,65.81401062,64.91880798,12.18455791,6.084833622,39.41040802,38.72313309,13.85845947,84.16682434
2018/1/2 22:52,300.3204041,32.06111145,39.62274933,34.7047081,0.537915766,66.139534,69.43553162,63.86082458,35.86816406,34.01086807,66.05815125,65.81401062,64.87809753,11.46599483,6.399755955,39.46229935,38.86576462,13.98111725,85.03006744
2018/1/2 23:53,300.6293945,31.89326286,41.64250565,34.25118637,0.53722918,65.81401062,69.19139099,63.65737534,35.46439743,33.56672668,65.77332306,65.56987,64.55257416,11.40067101,6.352151394,39.30667496,38.72313309,13.89360905,84.1297226
2018/1/3 0:53,299.6109314,32.78400803,38.22665405,34.4325943,0.537152886,66.01746368,69.39483643,63.82013702,35.70666504,33.84936905,66.05815125,65.73262787,64.87809753,11.72729015,6.493744373,39.43635559,38.73610687,14.25250912,87.54188538
2018/1/3 2:03,299.1417542,32.56656647,42.24900818,34.74358749,0.537458062,66.30231476,69.6796875,64.06427765,35.94891357,34.05124283,66.34300232,66.01746368,65.16294861,11.56381989,6.411962032,39.65681839,39.02136993,14.10434151,86.70575714
2018/1/3 3:03,298.9586487,32.73441696,40.06904221,34.63993073,0.53761059,65.69194031,68.94725037,63.41321564,35.26252365,33.36485291,65.56987,65.20363617,64.26774597,10.74711132,6.331400871,39.59197617,38.9695015,14.27462387,88.02537537
2018/1/3 4:04,298.5695801,32.97665405,40.14342499,34.49737549,0.537915766,64.67464447,67.92995453,62.55870438,34.53575897,32.63808823,64.67464447,64.38981628,63.4539032,10.19201851,6.442477703,39.501194,38.85279465,14.40683174,88.81554413
2018/1/3 5:13,296.681427,32.6810112,36.58452988,34.26413727,0.537915766,63.90151596,67.23820496,61.74488068,34.05124283,32.11320114,63.86082458,63.57597351,62.68077469,10.25734234,6.304546833,39.26775742,38.63237,14.11315155,86.26431274
2018/1/3 6:23,300.7895813,32.93469238,37.49427795,34.09569931,0.53875494,63.33183289,66.62783051,61.09381866,33.52635193,31.58830833,63.25045395,62.88422394,62.02971268,9.800074577,6.388770103,39.08620834,38.45084,14.31814194,88.3635025
2018/1/3 7:23,301.7165222,32.4464035,39.34238815,34.09569931,0.539822996,63.29114532,66.50576019,61.09381866,33.24372864,31.38643646,63.00631332,62.802845,61.78557205,9.506278038,6.270369053,38.99544525,38.41194534,14.25043583,87.0592804
2018/1/3 8:33,299.5308228,32.67338181,36.89921951,33.99204254,0.541043639,64.06427765,67.44165039,61.86695099,33.20335388,31.34606171,63.82013702,63.4539032,62.518013,9.440954208,6.309429169,38.95653152,38.26931381,14.30482388,87.75499725
2018/1/3 9:43,321.5822449,34.44724274,39.19934464,33.96611786,0.541272521,65.20363617,68.45894623,62.96562195,33.36485291,31.50755882,65.08156586,64.75602722,63.86082458,9.440954208,6.63045454,38.98247528,38.32118225,15.08287239,95.90766907
2018/1/3 10:43,315.460022,34.21263504,37.56866074,34.06977463,0.541272521,65.56987,68.90655518,63.41321564,33.60710144,31.7094326,65.44777679,65.12226105,64.14565277,9.440954208,6.70125103,38.99544525,38.34710312,14.99316788,95.20661926
2018/1/3 11:53,303.2156067,33.19981766,40.71559143,33.96611786,0.540662169,64.38981628,67.72650146,62.19247055,33.56672668,31.62868309,64.30843353,63.94220734,62.96562195,9.440954208,6.438816071,38.95653152,38.28226471,14.65677452,91.53100586
2018/1/3 12:53,320.3120117,35.33226395,37.29973984,33.91428757,0.53989929,65.36640167,68.66239929,63.16907501,33.56672668,31.66905785,65.32570648,64.91880798,63.9828949,9.277804375,6.812328339,38.93060684,38.28226471,15.25495911,97.30274963
2018/1/3 14:04,322.5663757,34.86686325,42.1631813,33.97908783,0.540204465,66.05815125,69.3134613,63.77944565,33.48597717,31.50755882,65.97676849,65.65125275,64.71533966,9.016509056,6.884345531,38.99544525,38.33415222,15.2552433,96.78200531
2018/1/3 15:13,314.3843384,34.23933792,39.46826172,33.94021225,0.540280759,65.32570648,68.6217041,63.20976257,33.16297913,31.26531219,65.28501892,64.91880798,63.94220734,8.493917465,6.66463232,38.91763306,38.29523849,14.87193871,94.17714691
2018/1/3 16:13,315.1052856,34.11726379,40.29218674,33.68109131,0.539365292,64.34912872,67.64512634,62.15178299,32.71883774,30.82117081,64.26774597,63.94220734,62.96562195,8.036650658,6.640219688,38.58050156,38.11372757,14.85838318,93.48777771
2018/1/3 17:23,329.9702454,35.13389969,39.46826172,33.49969864,0.539060116,63.33183289,66.6685257,61.13451004,32.23432541,30.29627991,63.53528595,63.16907501,62.31456375,7.612490654,6.819652081,38.55457687,37.94517136,15.24819183,97.27783966
2018/1/3 18:23,330.3364258,35.39330292,39.3481102,33.47377396,0.537305474,62.92491531,66.09883881,60.60551834,31.79018211,29.77197838,63.0470047,62.76215363,61.86695099,7.02457571,6.745193958,38.51566315,37.85440826,15.35006618,97.39720917
2018/1/3 19:33,329.798584,35.44861603,41.2763176,33.20171738,0.540204465,62.47732162,65.77332306,60.27997589,31.50755882,29.49008369,62.68077469,62.47732162,61.4600296,6.935268402,6.77204752,38.33415222,37.64697647,15.45214176,98.11831665
