SS_TimeStamp,GROSS_LOAD,AMBIENT_TEMPERATURE,SUCTION_STRAINER_DP,SUCTION_PRESSURE_1,SUCTION_TEMP_1,DISCHARGE_PRESSURE,PUMP_DELTA_PRESS_CV,DISCHARGE_TEMP_1,FLOW_1,FLOW_2,DISCHARGE_FLOW_COMMON,MOTOR_CURRENT,MOTOR_OB_TEMP_1,MOTOR_IB_TEMP_1,MOTOR_STATOR_TEMP_1,MOTOR_STATOR_TEMP_2,MOTOR_STATOR_TEMP_3,PUMP_IB_TEMP_1,PUMP_OB_TEMP_1,PUMP_OB_TEMP_2,IB_SEAL_DRAIN_TEMP,OB_SEAL_DRAIN_TEMP
7/19/2012 3:00,527.8026123,27.28542519,6.936981678,0.877198279,161.9267426,2.518563747,1.641365468,162.0073853,753.7664795,751.6533203,767.3596191,62.66731644,34.20629883,47.93557358,54.82155609,52.88423157,51.98748016,59.975914,71.51116943,63.10367203,46.0411911,48.46775818
7/19/2012 7:00,529.0020142,26.74372482,25.91292191,0.880251586,164.2124481,2.244382143,1.364130557,164.2393341,1526.714722,1525.675293,1534.750732,91.0991745,36.68891525,56.27853012,75.88656616,72.21710968,70.81842804,57.29359055,67.43527985,61.59154129,40.86958313,45.45103836
7/19/2012 16:00,871.222229,31.75135231,19.34843826,1.21038413,180.3122253,2.641915321,1.431531191,180.3663025,1295.334473,1294.431519,1305.231567,83.7713623,42.592556,60.96604156,78.29585266,75.04243469,73.68834686,62.86897278,70.72694397,64.32952118,44.96472931,49.75313187
7/27/2012 17:00,826.84552,34.68457031,18.08133888,1.17794323,179.1769257,2.628480911,1.450537681,179.3120728,1256.025635,1254.159912,1263.464844,82.30581665,46.68984222,66.26049042,83.62480164,80.4382019,78.93120575,65.97338104,73.66870117,65.58190918,48.53266907,56.69494247
7/28/2012 13:00,866.2248535,33.5083847,20.31021118,1.235955,181.6372833,2.64435792,1.40840292,181.7184143,1330.678467,1329.50769,1339.427246,84.94380951,44.09603882,62.32144547,80.34645081,77.1630249,75.78839111,62.58218002,74.20502472,69.00234985,46.96230698,55.56297302
7/31/2012 18:00,654.5360718,34.878479,11.83744621,1.055813432,172.7780914,2.612603903,1.556790471,172.8657837,991.4813232,991.4813232,999.7722168,72.34000397,46.87147903,64.43387604,77.83087921,75.11441803,73.79950714,66.99142456,74.78070831,65.86898041,48.3054924,54.84757233
8/13/2012 3:00,888.0134277,26.66632843,21.47044373,1.168783545,178.6364594,2.568637133,1.399853588,178.6904602,1371.186157,1368.905029,1383.665161,86.70248413,36.9734993,56.66890717,73.76026154,70.41333008,69.05458069,59.11629105,71.56344604,63.57309341,43.7589798,53.02721786
8/16/2012 2:00,738.4919434,23.98497009,14.02051735,1.119931579,176.1244049,2.637029886,1.517098307,176.1513977,1097.847046,1099.273438,1107.792847,76.73668671,35.26634979,52.68927002,65.84289551,63.05152512,61.77400589,59.61118317,72.53090668,63.49485397,42.72212601,50.8441391
8/16/2012 5:00,731.2957153,22.77392387,13.47093296,1.110771775,175.5574646,2.639472485,1.52870071,175.6114197,1072.156128,1073.617432,1083.791382,75.5642395,34.25799561,51.83153915,64.53822327,61.64368439,60.44489288,59.1944313,71.92947388,65.08612061,42.35931015,50.16870499
8/25/2012 7:00,769.6755371,24.24271584,15.05862141,1.150463939,177.6367798,2.651685476,1.501221537,177.6908112,1132.050781,1130.668091,1144.420288,77.02980042,33.66345596,51.38977432,65.37316132,62.37359238,61.09635544,57.91841888,70.49172974,61.9564743,41.53015518,49.90896225
8/25/2012 9:00,654.5360718,25.119133,11.39472389,1.022227645,170.9445343,2.588177919,1.565950274,170.9984589,978.0665283,978.0665283,987.68396,71.75378418,34.56823349,51.46772385,63.28621292,60.62728882,59.35070419,59.29861832,72.03407288,62.97327805,42.51481247,49.72715759
8/26/2012 8:00,612.1583252,25.789505,10.2802887,0.991695046,169.7047424,2.567415714,1.575720668,169.9540405,926.0228882,926.4476929,940.8080444,69.70199585,35.80943298,52.84524155,64.64256287,61.91738129,60.62728882,60.28854752,72.89704132,63.7295723,44.30993652,50.98052979
8/29/2012 18:00,807.2557983,29.86616135,17.2416954,1.145884156,177.2856445,2.615046501,1.469162345,177.3126526,1218.472534,1216.866699,1224.558594,80.03418732,40.36450958,59.89774323,75.45465088,72.2563324,70.81188965,61.77400589,73.52482605,65.66021729,45.2500267,54.11931992
9/1/2012 19:00,805.6567383,29.58218384,16.66157913,1.141304255,177.0965576,2.612603903,1.471299648,177.1506042,1204.039307,1203.389648,1212.781982,80.25402832,39.71710587,58.49126434,73.0539856,70.05397034,68.66275024,62.24323654,71.8510437,63.85999298,44.99715042,53.59922409
10/9/2012 14:00,824.8466187,24.2942543,16.73790932,1.165730238,178.4742889,2.63214469,1.466414452,178.5553589,1228.224609,1226.951416,1237.100098,79.52125549,35.00777054,50.81814957,66.78257751,63.83390045,62.49091339,57.99652481,66.07778931,58.64750671,39.85952759,39.97604752
10/20/2012 20:00,813.6524658,22.31022835,15.54714394,1.173363447,178.6094055,2.66145587,1.488092423,178.6364594,1174.857422,1176.186768,1186.769043,79.08158112,32.99151993,50.22066498,64.69475555,61.82614899,60.44489288,57.60599136,66.28660583,58.8037529,38.83682251,38.83682251
10/28/2012 21:00,876.0196533,20.01845932,18.60039139,1.220688701,180.6907501,2.654738665,1.434049964,180.616394,1282.730835,1282.426758,1291.21228,83.47826385,32.73312378,50.14921951,65.46448517,62.5039444,61.13544083,57.65804672,64.19908142,56.90316391,39.11512756,38.16384506
11/1/2012 13:00,796.8613281,15.33679581,15.21128464,1.148937464,177.5287476,2.646800518,1.497863054,177.5287476,1153.36792,1154.046143,1164.841919,78.93502808,27.10484886,42.79989624,57.26757431,54.45740891,53.28721237,53.05321884,63.10367203,55.83617401,34.77506256,34.42602539
11/7/2012 16:00,944.383728,15.28537369,22.15742683,1.263052583,182.935791,2.639472485,1.376419902,182.9696045,1400.772217,1400.772217,1411.823975,86.70248413,26.9758606,44.84803391,62.39314651,58.89491272,57.50836945,52.16942215,61.98254395,55.10770035,35.99048233,35.47969818
11/7/2012 18:00,916.9981079,15.07973576,20.08121872,1.235573292,181.5831604,2.64374733,1.408174038,181.610199,1338.651611,1338.651611,1351.099365,84.94380951,26.87268257,44.7183609,61.4547081,58.13972473,56.76000214,52.06545258,62.10637665,55.36784363,35.79004669,35.09180832
11/8/2012 21:00,969.1707764,14.25732517,24.30996704,1.28404355,183.8017426,2.629702091,1.345658541,183.7746887,1462.957275,1460.29834,1474.588257,88.90081787,25.119133,43.18867111,60.23643875,56.68192291,55.38085556,51.41576385,61.46123505,54.71751022,35.53787994,34.90434265
11/9/2012 10:00,946.7825317,12.07377911,22.61541367,1.266487479,183.0981445,2.630312681,1.363825202,183.0710907,1427.060791,1425.971191,1437.911377,87.87493134,25.91842461,43.62936783,60.79665756,57.56043243,56.25250626,52.19539642,61.74795151,54.84757233,35.84177017,35.32453918
11/9/2012 14:00,969.5705566,16.05662346,23.57718658,1.286333561,183.8829498,2.637640476,1.351306915,183.8761902,1448.999756,1448.730835,1457.547119,88.46116638,29.60798264,47.57218552,66.01905823,62.58218002,61.08983612,54.56145096,63.10367203,56.35660172,37.85974121,37.27750778
11/18/2012 6:00,999.1550293,9.942972183,26.26404572,1.283280253,184.0724335,2.602833748,1.319553495,184.099472,1524.982422,1524.982422,1537.147827,90.80605316,26.87268257,46.40442276,64.74693298,61.18756104,59.6632843,52.71527481,61.83917236,54.63947678,35.38271332,35.31807709
11/18/2012 13:00,753.0842896,12.89565372,14.31057644,1.103138685,175.1997681,2.6174891,1.514350415,175.2065277,1123.449097,1123.449097,1134.908691,76.99316406,29.24658775,45.78176498,59.42234421,56.70795441,55.38085556,55.5499649,64.9295578,57.05932999,35.21463776,35.25988388
11/19/2012 9:00,915.598877,10.35363388,21.76050377,1.251221299,182.3675995,2.638861895,1.387640596,182.3946838,1379.475098,1379.192993,1391.545654,86.11627197,27.67239189,46.17090607,63.08411407,59.75447083,58.31547546,53.46922302,62.66039276,55.16622162,35.5120163,35.79004669
11/28/2012 14:00,871.4221191,10.96969891,19.33317184,1.221070409,181.0422821,2.647411108,1.426340699,181.096344,1309.68335,1309.385498,1320.933838,83.99119568,26.87268257,45.65207291,61.4872818,58.26340866,56.84458923,53.52122116,62.84291458,55.05566406,35.52494431,34.91727066
12/26/2012 5:00,659.5333862,-4.009236336,11.47105408,1.107718587,175.4832001,2.663288116,1.555569529,175.5304413,1012.02771,1014.348206,1027.022461,72.1934433,15.51673889,31.57053375,42.16495895,39.31576538,38.15737152,48.1951561,61.17454147,51.23387146,27.82076073,25.49942398
12/26/2012 6:00,713.9049072,-4.162399292,13.51673222,1.127564669,176.5294189,2.659013271,1.531448602,176.5564423,1078.546143,1079.997437,1092.971802,74.83145142,15.2082634,31.26059341,42.63790131,39.59410477,38.46148682,47.59814453,60.36671066,50.71422958,27.26607132,25.80240059
12/26/2012 7:00,801.059082,-4.290008068,16.21885681,1.182523131,178.5080872,2.66145587,1.478932739,178.4270325,1198.042114,1200.974609,1211.665283,78.78846741,15.13115311,31.26059341,43.70713425,40.64293671,39.48405838,46.68984222,59.16838074,49.88298798,27.17578316,26.401968
12/26/2012 17:00,997.9556885,1.4844594,27.21055412,1.34968853,186.7532806,2.650464058,1.300775528,186.7532806,1554.579956,1554.580566,1566.476563,90.80605316,20.30162811,38.78505707,56.73397827,52.94922638,51.46773529,47.70196915,58.62145996,50.66227722,32.92691803,31.90636063
1/1/2013 6:00,606.5612793,0.895709395,9.868100166,1.077186108,173.8571777,2.656570673,1.579384565,173.9111633,928.7661133,930.4556274,943.8634644,68.96922302,16.13375473,31.4413929,41.50426102,39.01805496,37.8015213,48.97405624,62.16502762,52.16942215,30.69241905,28.16264153
1/1/2013 8:00,676.1226807,0.332658678,11.88324356,1.1092453,176.2053986,2.66145587,1.55221057,176.3944397,1017.739746,1019.277771,1029.97998,72.77967834,16.49373436,32.29386139,45.13330078,42.12609863,40.88252258,48.09133911,60.49699402,50.9480629,30.58912277,29.04010963
