时间, Changliu3 - Avg[V 有效值 A] (V), Changliu1 - Avg[V 有效值 A] (V), Changliu2 - Avg[V 有效值 A] (V), Changliu4 - Avg[V 有效值 A] (V), KunYang3 - Avg[V 有效值 A] (V), KunYang1 - Avg[V 有效值 A] (V), WanKe2 - Avg[V 有效值 A] (V), WanKe1 - Avg[V 有效值 A] (V), QinZhou4 - Avg[V 有效值 A] (V), QinZhou3 - Avg[V 有效值 A] (V), JiangChuan5 - Avg[V 有效值 A] (V), JiangChuan3 - Avg[V 有效值 A] (V), JiangChuan1 - Avg[V 有效值 A] (V), JiangChuan4 - Avg[V 有效值 A] (V), JiangChuan2 - Avg[V 有效值 A] (V)
2018-02-01 02:21:00,67056.015625,66989.9375,67003.3359375,67068.5859375,6030.080078125,21049.275390625,6113.0224609375,6059.90966796875,5983.8740234375,6056.8212890625,21200.77734375,65087.20703125,67202.53125,21288.048828125,66486.5546875
2018-02-01 02:24:00,67069.8125,66989.1171875,67001.9921875,67082.2890625,6031.4013671875,21053.845703125,6113.9609375,6063.42578125,5984.82470703125,6060.1103515625,21204.251953125,65093.03515625,67201.2578125,21288.873046875,66488.0625
2018-02-01 02:27:00,67076.25,66986.9765625,66999.796875,67088.5859375,6035.49267578125,21065.943359375,6114.50244140625,6063.49853515625,5984.43505859375,6059.05908203125,21213.9765625,65118.4921875,67226.7890625,21296.693359375,66522.3046875
2018-02-01 02:30:00,67054.7265625,66980.46875,66993.1328125,67067.1953125,6033.416015625,21059.74609375,6118.27294921875,6063.6171875,5984.47802734375,6059.1787109375,21223.73828125,65098.25,67271.46875,21311.0546875,66573.703125
2018-02-01 02:33:00,67080.1015625,67001.296875,67014.0625,67092.5,6039.951171875,21081.833984375,6122.3056640625,6063.21630859375,5985.30615234375,6059.52197265625,21239.8515625,65172.13671875,67336.7734375,21332.259765625,66613.2109375
2018-02-01 02:36:00,67101.4921875,67021.234375,67034.2265625,67113.84375,6042.734375,21090.599609375,6121.2841796875,6063.79248046875,5986.3271484375,6061.2568359375,21247.728515625,65192.9453125,67325.609375,21329.19140625,66629.6015625
2018-02-01 02:39:00,67144.140625,67050.5625,67063.515625,67156.359375,6044.39208984375,21098.623046875,6121.64501953125,6063.830078125,5987.37939453125,6063.10595703125,21256.216796875,65215.8125,67370.6953125,21344.955078125,66666.5390625
2018-02-01 02:42:00,67142.0078125,67049.328125,67061.984375,67154.5078125,6041.4345703125,21086.546875,6117.82470703125,6063.0576171875,5988.27294921875,6062.7177734375,21253.169921875,65180.2109375,67386.078125,21347.70703125,66666.046875
2018-02-01 02:45:00,67140.1015625,67035.765625,67048.7265625,67152.453125,6043.763671875,21093.546875,6117.19921875,6062.0302734375,5984.27392578125,6061.77099609375,21255.609375,65201.43359375,67379.125,21346.78515625,66655.984375
2018-02-01 02:48:00,67145.5234375,67033.5,67046.4140625,67157.9453125,6056.0263671875,21137.2890625,6118.01220703125,6062.1201171875,5984.86865234375,6060.36181640625,21271.904296875,65330.7109375,67385.046875,21351.34765625,66665.3203125
2018-02-01 02:51:00,67145.4296875,67036.1953125,67048.9453125,67157.875,6055.0234375,21132.248046875,6118.9375,6061.8447265625,5986.65478515625,6064.0751953125,21270.341796875,65317.51171875,67389.5625,21352.744140625,66674.515625
2018-02-01 02:54:00,67150.15625,67040.8125,67053.5546875,67162.53125,6054.93017578125,21132.3984375,6118.4765625,6063.36181640625,5986.28564453125,6064.87841796875,21271.6015625,65321.7890625,67407.0390625,21358.55859375,66680.78125
2018-02-01 02:57:00,67161.1328125,67041.4453125,67054.328125,67173.4375,6056.89599609375,21141.451171875,6120.84765625,6065.04150390625,5985.4296875,6064.279296875,21275.84765625,65345.25,67386.5859375,21349.849609375,66698.0
2018-02-01 03:00:00,67176.65625,67065.53125,67078.25,67189.2109375,6059.197265625,21147.568359375,6120.3134765625,6066.71533203125,5987.32373046875,6066.92626953125,21284.744140625,65364.62890625,67439.7109375,21368.828125,66722.6796875
2018-02-01 03:03:00,67171.4140625,67070.4765625,67083.8125,67184.203125,6057.3701171875,21142.69921875,6121.37890625,6067.9619140625,5986.97021484375,6067.43798828125,21285.54296875,65352.65625,67439.5390625,21368.42578125,66724.8984375
2018-02-01 03:06:00,67174.9453125,67077.0390625,67090.4375,67187.7109375,6060.45556640625,21152.861328125,6121.736328125,6070.12158203125,5990.1298828125,6068.72998046875,21287.134765625,65378.421875,67454.421875,21373.701171875,66727.4609375
2018-02-01 03:09:00,67172.1328125,67070.46875,67083.8046875,67184.9296875,6062.05419921875,21159.291015625,6122.02587890625,6068.33251953125,5992.728515625,6070.26220703125,21290.19921875,65399.0703125,67470.7421875,21379.392578125,66727.84375
2018-02-01 03:12:00,67158.7578125,67060.6875,67074.0703125,67171.453125,6053.92041015625,21132.34765625,6123.47900390625,6067.9208984375,5991.8291015625,6068.43896484375,21281.88671875,65315.49609375,67489.7890625,21385.984375,66718.25
2018-02-01 03:15:00,67163.1796875,67060.2109375,67073.375,67175.828125,6051.15283203125,21121.162109375,6120.55615234375,6067.27099609375,5992.86328125,6068.2919921875,21277.005859375,65281.0,67484.3515625,21384.810546875,66718.8203125
2018-02-01 03:18:00,67161.609375,67062.9375,67076.3203125,67174.2421875,6051.9208984375,21124.650390625,6120.5830078125,6070.16064453125,5990.587890625,6061.34814453125,21278.734375,65293.02734375,67457.2421875,21376.93359375,66716.9140625
2018-02-01 03:21:00,67182.4765625,67084.921875,67098.2109375,67195.2109375,6052.47314453125,21127.86328125,6121.01025390625,6068.546875,5989.703125,6061.2001953125,21283.76953125,65301.60546875,67469.703125,21379.501953125,66735.828125
2018-02-01 03:24:00,67173.328125,67074.96875,67088.0625,67186.2109375,6048.1279296875,21110.724609375,6118.29931640625,6065.40087890625,5988.6826171875,6063.4365234375,21279.1796875,65250.66015625,67477.078125,21378.234375,66747.75
2018-02-01 03:27:00,67151.4453125,67050.453125,67063.6328125,67164.2578125,6048.0302734375,21111.076171875,6117.52392578125,6066.310546875,5986.44189453125,6060.732421875,21278.3125,65247.171875,67483.1171875,21380.189453125,66746.46875
