时间, Changliu3 - Avg[I 有效值 A] (A), Changliu1 - Avg[I 有效值 A] (A), Changliu2 - Avg[I 有效值 A] (A), KunYang3 - Avg[I 有效值 A] (A), KunYang1 - Avg[I 有效值 A] (A), WanKe2 - Avg[I 有效值 A] (A), WanKe1 - Avg[I 有效值 A] (A), QinZhou4 - Avg[I 有效值 A] (A), QinZhou3 - Avg[I 有效值 A] (A), JiangChuan5 - Avg[I 有效值 A] (A), JiangChuan3 - Avg[I 有效值 A] (A), JiangChuan1 - Avg[I 有效值 A] (A), JiangChuan4 - Avg[I 有效值 A] (A), JiangChuan2 - Avg[I 有效值 A] (A)
2018-02-05 06:12:00,29.8245887756348,0.0,28.9466552734375,0.878588378429413,108.601974487305,87.6631851196289,65.182258605957,44.3011474609375,3.42564392089844,69.4373092651367,55.8967437744141,78.8388977050781,60.8435211181641,0.0
2018-02-05 06:15:00,30.2461948394775,0.0,31.1856822967529,0.879067420959473,106.765670776367,86.8142242431641,64.1844177246094,45.2466125488281,3.50533318519592,70.2496185302734,55.9438247680664,80.2284851074219,61.0466499328613,0.0
2018-02-05 06:18:00,31.7676410675049,0.0,30.5129833221436,0.874115347862244,102.988525390625,86.7706604003906,64.8162612915039,44.2850456237793,3.41434788703918,73.0040512084961,55.7339096069336,80.2859573364258,61.40380859375,0.0
2018-02-05 06:21:00,31.8127765655518,0.0,33.4066123962402,0.867163062095642,102.79280090332,86.8004531860352,64.2123947143555,44.3864364624023,3.49854135513306,74.9823837280273,55.8461952209473,80.5271148681641,65.9189529418945,0.0
2018-02-05 06:24:00,33.0898628234863,0.0,32.0093269348145,0.867857456207275,102.371162414551,87.2732696533203,64.9049072265625,44.5981292724609,3.54464554786682,74.9936904907227,55.7897109985352,80.5421905517578,62.4617309570313,0.0
2018-02-05 06:27:00,32.0036430358887,0.0,32.073657989502,0.868636429309845,101.321975708008,88.5035629272461,62.5308570861816,43.4996604919434,3.61956191062927,74.0817565917969,56.1788063049316,80.506217956543,62.3409538269043,0.0
2018-02-05 06:30:00,32.8189926147461,0.0,33.5046653747559,0.874618768692017,94.5601425170898,90.9908905029297,63.2641372680664,43.9792747497559,3.47739958763123,71.2891311645508,56.1618232727051,79.9138107299805,60.2572059631348,0.0
2018-02-05 06:33:00,31.6669769287109,0.0,31.8568458557129,0.868591785430908,96.3940048217773,90.4100723266602,64.1693954467773,44.6454925537109,3.46804594993591,69.9822616577148,56.166934967041,82.5267944335938,58.6913414001465,0.0
2018-02-05 06:36:00,30.0016422271729,0.0,33.4937591552734,0.867143511772156,88.239990234375,91.7218704223633,63.2454719543457,43.7853622436523,3.6817421913147,67.9953308105469,56.573127746582,82.2312240600586,61.1627998352051,0.0
2018-02-05 06:39:00,31.9669189453125,0.0,31.2792797088623,0.868005871772766,97.7043914794922,92.2872619628906,62.8500823974609,44.4177131652832,3.68125343322754,64.8867645263672,57.5251274108887,80.5665283203125,59.3510055541992,0.0
2018-02-05 06:42:00,30.8085880279541,0.0,30.3874359130859,0.870820701122284,95.7001647949219,91.4997711181641,65.3533706665039,44.9077377319336,3.37712073326111,63.5523986816406,57.9304428100586,80.7577056884766,61.0706481933594,0.0
2018-02-05 06:45:00,30.4728107452393,0.0,32.4716682434082,0.868429660797119,83.6960525512695,93.3239440917969,65.3522262573242,44.2289505004883,3.81831836700439,62.9947624206543,58.1623840332031,81.9911499023438,60.0118217468262,0.0
2018-02-05 06:48:00,31.6284828186035,0.0,30.1850700378418,0.8724205493927,86.4996719360352,96.2901382446289,68.5547790527344,43.9725799560547,4.10040998458862,63.5669021606445,58.6181106567383,81.2578964233398,58.1134185791016,0.0
2018-02-05 06:51:00,32.145809173584,0.0,31.4241123199463,0.877027750015259,86.8766326904297,96.2877578735352,68.6701812744141,45.1466331481934,3.76175236701965,62.6146240234375,58.5493278503418,82.1228790283203,60.5984115600586,0.0
